edge_id,from_node_id,from_node_type,to_node_id,to_node_type,relationship,timestamp,trip_id,rider_id,route_id,station_id,mode,rider_segment,edge_strength,fare_bucket,region,province,city,promotion,same_household,prior_interactions,dwell_seconds,distance_bucket,total_fare_cad,citation_issued
EDGE300011,R68646,Rider,S012,Station,TRANSFERRED_TO,2025-06-27 11:10:10,T101458,R68646,R106,S012,skytrain,Occasional,0.462,$4.5-$6.5,NA,BC,Vancouver,None,False,4,28,10-20km,4.54,False
EDGE300012,R61572,Rider,S016,Station,ALIGHTED,2025-06-11 09:40:28,T102276,R61572,R037,S016,seabus,Commuter,0.156,<$3,NA,BC,Vancouver,HolidayFreeRide,False,0,54,<2km,2.16,False
EDGE300013,R24591,Rider,S025,Station,ALIGHTED,2025-06-21 02:04:48,T100232,R24591,R037,S025,skytrain,Senior,0.515,$4.5-$6.5,NA,BC,Vancouver,None,False,1,28,5-10km,6.19,False
EDGE300014,R22008,Rider,V0854,Vehicle,BOARDED,2024-06-01 08:25:33,T102025,R22008,R067,S015,bus,Commuter,0.67,$3-$4.5,NA,BC,Vancouver,None,False,3,5,>=20km,3.38,False
EDGE300015,S011,Station,S018,Station,CONNECTS_TO,2025-05-06 08:38:53,,,,S011,bus,Commuter,0.976,$3-$4.5,NA,BC,Vancouver,None,False,2,61,>=20km,3.06,False
EDGE300016,R26953,Rider,S029,Station,ALIGHTED,2024-05-16 14:36:55,T101050,R26953,R040,S029,wce,Senior,0.241,<$3,NA,BC,Vancouver,None,False,3,9,5-10km,2.11,False
EDGE300017,R099,Route,S001,Station,ROUTE_SERVES,2025-06-29 02:09:52,,,R099,S001,bus,LowIncome,0.428,$3-$4.5,NA,BC,Vancouver,None,False,3,30,10-20km,3.18,False
EDGE300018,R40888,Rider,S019,Station,TRANSFERRED_TO,2024-02-08 21:58:46,T100106,R40888,R056,S019,skytrain,Commuter,0.16,<$3,NA,BC,Vancouver,None,False,1,44,10-20km,2.27,False
EDGE300019,R70274,Rider,S015,Station,ALIGHTED,2025-06-24 07:58:11,T100664,R70274,R029,S015,seabus,Commuter,0.524,$4.5-$6.5,NA,BC,Vancouver,None,False,2,12,>=20km,6.25,False
EDGE300020,S026,Station,S010,Station,CONNECTS_TO,2024-10-23 13:49:23,,,,S026,wce,Tourist,0.291,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,2,42,5-10km,3.12,False
EDGE300021,R56346,Rider,S025,Station,TRANSFERRED_TO,2024-07-04 21:39:20,T101430,R56346,R030,S025,bus,Commuter,0.471,$3-$4.5,NA,BC,Vancouver,HolidayFreeRide,False,2,5,10-20km,3.4,False
EDGE300022,R35320,Rider,S011,Station,TRANSFERRED_TO,2024-10-30 20:36:31,T100942,R35320,R011,S011,skytrain,Senior,0.292,$4.5-$6.5,NA,BC,Vancouver,None,False,3,91,5-10km,4.59,False
EDGE300023,R49156,Rider,S008,Station,ALIGHTED,2024-04-24 13:09:31,T100251,R49156,R119,S008,bus,Senior,0.72,>$6.5,NA,BC,Vancouver,CarFreeDay,False,2,57,10-20km,6.62,False
EDGE300024,R42701,Rider,R12676,Rider,SHARES_TRIP_WITH,2024-05-06 08:28:24,T100480,R42701,R112,S007,seabus,Commuter,0.371,<$3,NA,BC,Vancouver,None,False,1,32,10-20km,2.83,False
EDGE300025,S026,Station,S017,Station,CONNECTS_TO,2025-03-02 00:12:39,,,,S026,bus,LowIncome,0.514,<$3,NA,BC,Vancouver,None,False,1,41,5-10km,1.87,False
EDGE300026,S026,Station,S020,Station,CONNECTS_TO,2024-09-03 23:12:02,,,,S026,bus,Commuter,0.576,$3-$4.5,NA,BC,Vancouver,None,False,3,35,5-10km,3.2,False
EDGE300027,R092,Route,S001,Station,ROUTE_SERVES,2024-02-28 21:37:08,,,R092,S001,wce,Commuter,0.764,$3-$4.5,NA,BC,Vancouver,HolidayFreeRide,False,0,53,5-10km,3.13,False
EDGE300028,S014,Station,S005,Station,CONNECTS_TO,2024-01-23 20:05:35,,,,S014,bus,Student,0.16,$3-$4.5,NA,BC,Vancouver,None,False,2,5,10-20km,3.13,False
EDGE300029,R026,Route,S008,Station,ROUTE_SERVES,2024-12-31 04:06:43,,,R026,S008,skytrain,LowIncome,0.116,$3-$4.5,NA,BC,Vancouver,None,False,0,46,5-10km,3.17,False
EDGE300030,S028,Station,S026,Station,CONNECTS_TO,2024-06-10 14:25:40,,,,S028,bus,Commuter,0.884,$4.5-$6.5,NA,BC,Vancouver,None,False,2,45,5-10km,4.83,False
EDGE300031,R80117,Rider,V0714,Vehicle,BOARDED,2025-01-23 09:06:52,T100273,R80117,R111,S012,bus,Commuter,0.97,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,2,13,10-20km,3.39,False
EDGE300032,R46599,Rider,S009,Station,ALIGHTED,2025-06-19 14:57:45,T100197,R46599,R047,S009,skytrain,Commuter,0.952,>$6.5,NA,BC,Vancouver,None,False,4,46,5-10km,6.56,False
EDGE300033,S026,Station,S013,Station,CONNECTS_TO,2024-12-19 14:15:01,,,,S026,bus,Student,0.965,$3-$4.5,NA,BC,Vancouver,NewYearPromo,False,2,21,>=20km,4.33,False
EDGE300034,R95118,Rider,S029,Station,TRANSFERRED_TO,2024-05-03 09:30:15,T101758,R95118,R083,S029,skytrain,Commuter,0.342,$3-$4.5,NA,BC,Vancouver,None,False,2,5,5-10km,3.33,False
EDGE300035,S013,Station,S026,Station,CONNECTS_TO,2024-10-17 17:17:00,,,,S013,skytrain,Commuter,0.884,$3-$4.5,NA,BC,Vancouver,None,False,1,19,<2km,3.32,False
EDGE300036,S005,Station,S028,Station,CONNECTS_TO,2024-12-30 06:34:30,,,,S005,bus,Occasional,0.716,$4.5-$6.5,NA,BC,Vancouver,None,False,2,50,10-20km,6.19,False
EDGE300037,R55888,Rider,V0782,Vehicle,BOARDED,2024-09-07 19:15:48,T100265,R55888,R005,S021,bus,Commuter,0.634,$3-$4.5,NA,BC,Vancouver,None,False,0,46,10-20km,4.25,False
EDGE300038,S006,Station,S025,Station,CONNECTS_TO,2024-03-09 11:47:22,,,,S006,wce,Student,0.569,<$3,NA,BC,Vancouver,None,False,2,30,10-20km,2.15,False
EDGE300039,S014,Station,S011,Station,CONNECTS_TO,2025-04-02 06:02:48,,,,S014,skytrain,Commuter,0.591,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,3,20,<2km,3.12,False
EDGE300040,R004,Route,S023,Station,ROUTE_SERVES,2024-10-28 06:43:08,,,R004,S023,bus,Tourist,0.147,$3-$4.5,NA,BC,Vancouver,None,False,1,65,>=20km,3.19,False
EDGE300041,R040,Route,S010,Station,ROUTE_SERVES,2024-06-30 10:41:39,,,R040,S010,bus,Tourist,0.258,$3-$4.5,NA,BC,Vancouver,None,False,2,58,10-20km,3.21,False
EDGE300042,R42192,Rider,R15184,Rider,SHARES_TRIP_WITH,2024-06-10 13:24:13,T101442,R42192,R008,S002,skytrain,Commuter,0.849,$3-$4.5,NA,BC,Vancouver,None,False,1,33,>=20km,3.19,False
EDGE300043,R78643,Rider,R59654,Rider,SHARES_TRIP_WITH,2024-11-02 04:15:31,T101051,R78643,R049,S004,bus,Commuter,0.208,<$3,NA,BC,Vancouver,CarFreeDay,False,2,70,>=20km,2.19,False
EDGE300044,R12094,Rider,S013,Station,TRANSFERRED_TO,2024-07-11 05:01:43,T100688,R12094,R014,S013,seabus,Senior,0.364,$4.5-$6.5,NA,BC,Vancouver,None,False,2,5,10-20km,6.22,False
EDGE300045,R18914,Rider,V0741,Vehicle,BOARDED,2024-12-25 19:42:04,T100374,R18914,R025,S021,skytrain,Student,0.465,<$3,NA,BC,Vancouver,None,False,1,7,10-20km,2.03,False
EDGE300046,R96124,Rider,V0417,Vehicle,BOARDED,2025-01-16 22:33:52,T100126,R96124,R070,S011,skytrain,Commuter,0.995,<$3,NA,BC,Vancouver,None,False,0,27,5-10km,2.79,False
EDGE300047,R069,Route,S020,Station,ROUTE_SERVES,2024-07-10 19:45:17,,,R069,S020,skytrain,Commuter,0.842,$3-$4.5,NA,BC,Vancouver,None,False,1,15,5-10km,3.18,False
EDGE300048,R71761,Rider,R41733,Rider,SHARES_TRIP_WITH,2024-01-27 15:28:47,T101894,R71761,R063,S020,wce,Commuter,0.716,$4.5-$6.5,NA,BC,Vancouver,None,False,5,79,2-5km,4.57,False
EDGE300049,S012,Station,S008,Station,CONNECTS_TO,2024-10-02 03:21:04,,,,S012,skytrain,Senior,0.648,$3-$4.5,NA,BC,Vancouver,None,False,1,5,2-5km,3.2,False
EDGE300050,S030,Station,S002,Station,CONNECTS_TO,2024-11-18 06:51:17,,,,S030,bus,Student,0.101,$3-$4.5,NA,BC,Vancouver,HolidayFreeRide,False,2,19,10-20km,3.0,False
EDGE300051,R50695,Rider,V0582,Vehicle,BOARDED,2024-10-07 21:13:17,T102462,R50695,R016,S001,skytrain,Student,0.755,$4.5-$6.5,NA,BC,Vancouver,None,False,2,30,5-10km,4.53,False
EDGE300052,R90961,Rider,R61816,Rider,SHARES_TRIP_WITH,2024-08-13 15:29:11,T102028,R90961,R089,S023,wce,Occasional,0.15,<$3,NA,BC,Vancouver,None,False,2,27,>=20km,2.05,False
EDGE300053,R67950,Rider,S030,Station,TRANSFERRED_TO,2024-08-18 21:48:49,T102418,R67950,R029,S030,bus,Commuter,0.231,$4.5-$6.5,NA,BC,Vancouver,CarFreeDay,False,4,57,5-10km,6.25,False
EDGE300054,S022,Station,S014,Station,CONNECTS_TO,2025-05-25 23:57:28,,,,S022,skytrain,Commuter,0.268,$4.5-$6.5,NA,BC,Vancouver,None,False,4,5,>=20km,4.57,False
EDGE300055,R040,Route,S006,Station,ROUTE_SERVES,2024-02-28 08:48:50,,,R040,S006,bus,Commuter,0.698,<$3,NA,BC,Vancouver,None,False,0,25,10-20km,2.18,False
EDGE300056,R18328,Rider,S028,Station,TRANSFERRED_TO,2024-09-07 21:15:08,T101654,R18328,R051,S028,seabus,Occasional,0.135,$4.5-$6.5,NA,BC,Vancouver,None,False,3,24,10-20km,4.57,False
EDGE300057,R41649,Rider,S006,Station,TRANSFERRED_TO,2024-08-22 13:05:59,T100578,R41649,R021,S006,seabus,Commuter,0.526,$4.5-$6.5,NA,BC,Vancouver,HolidayFreeRide,False,2,43,>=20km,4.57,False
EDGE300058,R027,Route,S004,Station,ROUTE_SERVES,2024-06-19 20:58:35,,,R027,S004,skytrain,Occasional,0.653,$3-$4.5,NA,BC,Vancouver,CarFreeDay,False,1,5,5-10km,3.76,False
EDGE300059,R22983,Rider,S006,Station,ALIGHTED,2024-01-23 15:00:20,T101354,R22983,R062,S006,bus,Commuter,0.325,$4.5-$6.5,NA,BC,Vancouver,None,False,0,21,2-5km,4.59,False
EDGE300060,S005,Station,S010,Station,CONNECTS_TO,2024-04-20 11:42:36,,,,S005,bus,Tourist,0.612,$4.5-$6.5,NA,BC,Vancouver,None,False,1,22,10-20km,4.6,False
EDGE300061,R68881,Rider,S006,Station,TRANSFERRED_TO,2024-09-02 09:40:57,T102491,R68881,R072,S006,seabus,Student,0.135,<$3,NA,BC,Vancouver,None,False,2,22,5-10km,2.16,False
EDGE300062,R81218,Rider,R40846,Rider,SHARES_TRIP_WITH,2024-05-12 15:03:52,T101595,R81218,R056,S025,bus,Commuter,0.33,$3-$4.5,NA,BC,Vancouver,CarFreeDay,False,6,65,2-5km,3.31,False
EDGE300063,R085,Route,S026,Station,ROUTE_SERVES,2024-12-02 06:33:50,,,R085,S026,wce,Senior,0.858,$4.5-$6.5,NA,BC,Vancouver,None,False,1,28,10-20km,4.56,False
EDGE300064,R42611,Rider,S015,Station,TRANSFERRED_TO,2024-10-26 15:41:43,T100559,R42611,R051,S015,seabus,Senior,0.669,$3-$4.5,NA,BC,Vancouver,None,False,0,18,5-10km,3.33,False
EDGE300065,R065,Route,S014,Station,ROUTE_SERVES,2024-04-19 17:16:56,,,R065,S014,skytrain,Tourist,0.414,<$3,NA,BC,Vancouver,SportsFinalsPass,False,1,13,10-20km,2.11,False
EDGE300066,R71329,Rider,V0589,Vehicle,BOARDED,2024-01-07 08:23:58,T100426,R71329,R011,S029,bus,LowIncome,0.539,$4.5-$6.5,NA,BC,Vancouver,None,False,1,27,10-20km,4.61,False
EDGE300067,S016,Station,S023,Station,CONNECTS_TO,2024-02-06 12:51:06,,,,S016,bus,Student,0.807,$3-$4.5,NA,BC,Vancouver,None,False,7,17,2-5km,3.19,False
EDGE300068,S022,Station,S016,Station,CONNECTS_TO,2025-05-20 20:30:17,,,,S022,skytrain,Commuter,0.339,$4.5-$6.5,NA,BC,Vancouver,None,False,1,28,10-20km,4.9,False
EDGE300069,R34766,Rider,S010,Station,ALIGHTED,2024-06-16 16:20:30,T100845,R34766,R026,S010,skytrain,Tourist,0.296,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,3,37,10-20km,4.13,False
EDGE300070,R86490,Rider,V0333,Vehicle,BOARDED,2024-12-29 13:21:48,T102485,R86490,R032,S013,bus,Commuter,0.236,$3-$4.5,NA,BC,Vancouver,None,False,3,38,5-10km,3.2,False
EDGE300071,R084,Route,S005,Station,ROUTE_SERVES,2025-02-15 02:16:26,,,R084,S005,bus,Commuter,0.166,<$3,NA,BC,Vancouver,None,False,3,43,10-20km,2.74,False
EDGE300072,R84406,Rider,S025,Station,TRANSFERRED_TO,2024-08-24 02:59:19,T102062,R84406,R004,S025,bus,Senior,0.408,<$3,NA,BC,Vancouver,None,False,2,28,10-20km,2.96,False
EDGE300073,R78057,Rider,S011,Station,TRANSFERRED_TO,2024-01-26 11:54:54,T101582,R78057,R038,S011,bus,Commuter,0.516,<$3,NA,BC,Vancouver,SportsFinalsPass,False,2,16,10-20km,2.94,False
EDGE300074,R020,Route,S020,Station,ROUTE_SERVES,2025-01-04 15:00:29,,,R020,S020,bus,Commuter,0.778,$4.5-$6.5,NA,BC,Vancouver,None,False,0,57,>=20km,4.82,False
EDGE300075,S003,Station,S013,Station,CONNECTS_TO,2024-07-26 18:59:49,,,,S003,bus,Commuter,0.688,<$3,NA,BC,Vancouver,CarFreeDay,False,1,24,>=20km,2.18,False
EDGE300076,S001,Station,S004,Station,CONNECTS_TO,2024-04-17 23:39:09,,,,S001,bus,Commuter,0.963,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,3,20,2-5km,3.37,False
EDGE300077,R78440,Rider,S003,Station,ALIGHTED,2024-08-03 09:46:19,T102174,R78440,R017,S003,skytrain,Commuter,0.33,$4.5-$6.5,NA,BC,Vancouver,HolidayFreeRide,False,2,31,5-10km,6.15,False
EDGE300078,R14488,Rider,V0700,Vehicle,BOARDED,2025-01-14 11:07:04,T102059,R14488,R056,S006,skytrain,Commuter,0.467,<$3,NA,BC,Vancouver,None,False,2,5,10-20km,2.12,False
EDGE300079,S009,Station,S023,Station,CONNECTS_TO,2024-03-13 04:48:42,,,,S009,skytrain,Commuter,0.305,<$3,NA,BC,Vancouver,None,False,2,33,5-10km,2.88,False
EDGE300080,R16815,Rider,R50565,Rider,SHARES_TRIP_WITH,2025-03-23 08:21:35,T100522,R16815,R110,S004,skytrain,Commuter,0.277,$4.5-$6.5,NA,BC,Vancouver,None,False,0,11,5-10km,4.51,False
EDGE300081,R54981,Rider,R30292,Rider,SHARES_TRIP_WITH,2024-08-22 04:53:13,T100518,R54981,R076,S003,bus,Student,0.731,<$3,NA,BC,Vancouver,CarFreeDay,False,2,30,10-20km,2.17,False
EDGE300082,R80123,Rider,S012,Station,TRANSFERRED_TO,2024-09-12 10:36:50,T101047,R80123,R040,S012,skytrain,Commuter,0.777,<$3,NA,BC,Vancouver,None,False,2,32,>=20km,2.02,False
EDGE300083,R39923,Rider,S030,Station,TRANSFERRED_TO,2025-04-15 20:18:31,T101666,R39923,R047,S030,wce,Commuter,0.526,$4.5-$6.5,NA,BC,Vancouver,None,False,1,63,>=20km,6.2,False
EDGE300084,R31973,Rider,V0315,Vehicle,BOARDED,2024-12-29 04:15:10,T100742,R31973,R012,S028,skytrain,Senior,0.861,$3-$4.5,NA,BC,Vancouver,None,False,2,27,10-20km,3.36,False
EDGE300085,R074,Route,S017,Station,ROUTE_SERVES,2025-06-23 18:44:52,,,R074,S017,skytrain,Commuter,0.234,$4.5-$6.5,NA,BC,Vancouver,None,False,3,30,5-10km,6.22,False
EDGE300086,R62775,Rider,S027,Station,TRANSFERRED_TO,2024-08-26 04:44:10,T100036,R62775,R095,S027,skytrain,Commuter,0.104,$3-$4.5,NA,BC,Vancouver,HolidayFreeRide,False,2,5,>=20km,3.12,False
EDGE300087,R075,Route,S009,Station,ROUTE_SERVES,2024-03-21 20:28:27,,,R075,S009,wce,Commuter,0.388,<$3,NA,BC,Vancouver,None,False,2,5,10-20km,2.17,False
EDGE300088,R46494,Rider,V0422,Vehicle,BOARDED,2024-10-14 10:26:32,T101668,R46494,R015,S018,bus,Senior,0.279,$4.5-$6.5,NA,BC,Vancouver,None,False,2,57,10-20km,4.59,False
EDGE300089,R95834,Rider,S026,Station,ALIGHTED,2024-06-08 18:47:28,T100075,R95834,R026,S026,skytrain,Occasional,0.382,$4.5-$6.5,NA,BC,Vancouver,None,False,1,48,2-5km,6.18,False
EDGE300090,R15558,Rider,V0246,Vehicle,BOARDED,2024-08-22 09:20:38,T100408,R15558,R045,S017,bus,Tourist,0.982,$4.5-$6.5,NA,BC,Vancouver,None,False,2,9,10-20km,4.6,False
EDGE300091,R040,Route,S021,Station,ROUTE_SERVES,2024-12-26 14:20:56,,,R040,S021,bus,Commuter,0.811,$4.5-$6.5,NA,BC,Vancouver,None,False,0,29,10-20km,6.26,False
EDGE300092,R34312,Rider,S013,Station,TRANSFERRED_TO,2025-01-25 13:03:22,T100339,R34312,R035,S013,seabus,Occasional,0.152,$4.5-$6.5,NA,BC,Vancouver,None,False,2,34,5-10km,4.6,False
EDGE300093,R73441,Rider,V0778,Vehicle,BOARDED,2024-01-10 06:58:21,T100815,R73441,R015,S002,skytrain,Student,0.131,>$6.5,NA,BC,Vancouver,None,False,0,31,5-10km,8.12,False
EDGE300094,S001,Station,S025,Station,CONNECTS_TO,2025-04-27 21:41:19,,,,S001,skytrain,Student,0.732,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,3,48,2-5km,3.33,False
EDGE300095,R83955,Rider,V0678,Vehicle,BOARDED,2024-09-17 08:37:44,T101803,R83955,R063,S029,bus,LowIncome,0.993,<$3,NA,BC,Vancouver,HolidayFreeRide,False,2,34,10-20km,1.92,False
EDGE300096,R87327,Rider,S018,Station,TRANSFERRED_TO,2025-04-23 00:28:36,T100054,R87327,R089,S018,skytrain,Commuter,0.512,$3-$4.5,NA,BC,Vancouver,None,False,5,8,>=20km,3.15,False
EDGE300097,S001,Station,S004,Station,CONNECTS_TO,2025-03-21 21:51:38,,,,S001,bus,Commuter,0.958,<$3,NA,BC,Vancouver,SportsFinalsPass,False,2,12,2-5km,2.18,False
EDGE300098,S016,Station,S019,Station,CONNECTS_TO,2024-06-15 06:00:18,,,,S016,bus,Student,0.275,$4.5-$6.5,NA,BC,Vancouver,None,False,0,49,10-20km,4.88,False
EDGE300099,R71716,Rider,S017,Station,ALIGHTED,2024-08-31 15:00:48,T101400,R71716,R010,S017,wce,Tourist,0.275,$4.5-$6.5,NA,BC,Vancouver,None,False,0,26,<2km,4.58,False
EDGE300100,S013,Station,S016,Station,CONNECTS_TO,2024-06-13 08:31:55,,,,S013,seabus,Student,0.711,$4.5-$6.5,NA,BC,Vancouver,HolidayFreeRide,False,0,5,>=20km,4.58,False
EDGE300101,R72964,Rider,S023,Station,TRANSFERRED_TO,2024-11-24 01:08:50,T100986,R72964,R017,S023,bus,Commuter,0.549,$4.5-$6.5,NA,BC,Vancouver,None,False,1,24,2-5km,6.19,False
EDGE300102,R50816,Rider,V0870,Vehicle,BOARDED,2025-02-01 12:27:01,T100256,R50816,R075,S016,wce,Senior,0.977,$3-$4.5,NA,BC,Vancouver,None,False,1,51,2-5km,3.14,False
EDGE300103,S018,Station,S005,Station,CONNECTS_TO,2024-11-12 17:25:56,,,,S018,skytrain,Commuter,0.213,$3-$4.5,NA,BC,Vancouver,None,False,1,17,10-20km,4.06,False
EDGE300104,R97155,Rider,S007,Station,ALIGHTED,2025-03-01 17:01:17,T101188,R97155,R112,S007,wce,Student,0.385,$4.5-$6.5,NA,BC,Vancouver,None,False,1,29,10-20km,4.57,False
EDGE300105,R30600,Rider,V0062,Vehicle,BOARDED,2024-01-16 21:05:57,T101034,R30600,R042,S028,skytrain,Commuter,0.367,$3-$4.5,NA,BC,Vancouver,None,False,1,32,2-5km,3.07,False
EDGE300106,R81666,Rider,V0222,Vehicle,BOARDED,2024-10-30 20:47:14,T102184,R81666,R069,S003,bus,Commuter,0.378,<$3,NA,BC,Vancouver,None,False,1,22,10-20km,1.99,False
EDGE300107,R62573,Rider,S006,Station,TRANSFERRED_TO,2025-04-18 01:41:34,T102355,R62573,R001,S006,skytrain,Student,0.183,$3-$4.5,NA,BC,Vancouver,SportsFinalsPass,False,4,42,<2km,3.72,False
EDGE300108,R080,Route,S019,Station,ROUTE_SERVES,2024-07-20 10:27:18,,,R080,S019,bus,Commuter,0.89,$3-$4.5,NA,BC,Vancouver,None,False,5,38,10-20km,3.4,False
EDGE300109,R69804,Rider,S020,Station,ALIGHTED,2024-03-17 07:25:20,T101655,R69804,R037,S020,bus,Senior,0.36,$3-$4.5,NA,BC,Vancouver,None,False,3,22,5-10km,4.24,False
EDGE300110,S029,Station,S012,Station,CONNECTS_TO,2025-06-07 13:21:31,,,,S029,wce,Commuter,0.583,<$3,NA,BC,Vancouver,None,False,2,66,>=20km,2.02,False
EDGE300111,R86041,Rider,R47297,Rider,SHARES_TRIP_WITH,2024-04-29 19:05:13,T101926,R86041,R042,S015,bus,Student,0.199,<$3,NA,BC,Vancouver,None,False,0,36,>=20km,2.18,False
EDGE300112,R69533,Rider,S030,Station,TRANSFERRED_TO,2024-11-13 23:06:07,T100539,R69533,R059,S030,bus,Commuter,0.15,<$3,NA,BC,Vancouver,HolidayFreeRide,False,0,5,10-20km,2.82,False
EDGE300113,R82313,Rider,V0690,Vehicle,BOARDED,2024-03-15 01:44:48,T100619,R82313,R032,S026,bus,Commuter,0.303,$4.5-$6.5,NA,BC,Vancouver,None,False,5,28,10-20km,4.54,False
EDGE300114,R112,Route,S029,Station,ROUTE_SERVES,2024-06-07 07:36:13,,,R112,S029,skytrain,Student,0.803,$3-$4.5,NA,BC,Vancouver,None,False,2,38,10-20km,3.34,False
EDGE300115,R56863,Rider,S001,Station,TRANSFERRED_TO,2024-08-02 00:33:55,T102367,R56863,R120,S001,skytrain,Commuter,0.561,<$3,NA,BC,Vancouver,None,False,2,40,5-10km,2.08,False
EDGE300116,R12620,Rider,S030,Station,TRANSFERRED_TO,2025-04-04 06:55:30,T102440,R12620,R050,S030,bus,Student,0.621,>$6.5,NA,BC,Vancouver,SportsFinalsPass,False,2,10,10-20km,8.13,False
EDGE300117,R98323,Rider,S026,Station,ALIGHTED,2025-03-22 10:43:40,T100337,R98323,R047,S026,bus,Commuter,0.953,$4.5-$6.5,NA,BC,Vancouver,HolidayFreeRide,False,2,52,10-20km,6.19,False
EDGE300118,S009,Station,S015,Station,CONNECTS_TO,2024-05-06 02:14:39,,,,S009,bus,Commuter,0.703,>$6.5,NA,BC,Vancouver,None,False,2,36,5-10km,8.11,False
EDGE300119,R59523,Rider,S005,Station,ALIGHTED,2024-08-10 04:25:41,T101802,R59523,R046,S005,skytrain,Commuter,0.12,$3-$4.5,NA,BC,Vancouver,None,False,2,20,10-20km,3.14,False
EDGE300120,R25603,Rider,S023,Station,ALIGHTED,2024-02-27 18:06:09,T100236,R25603,R064,S023,bus,Commuter,0.769,<$3,NA,BC,Vancouver,None,False,0,22,10-20km,2.06,False
EDGE300121,R12322,Rider,R14933,Rider,SHARES_TRIP_WITH,2024-07-06 07:48:57,T100129,R12322,R028,S014,bus,Commuter,0.108,<$3,NA,BC,Vancouver,None,False,2,35,>=20km,2.11,False
EDGE300122,S026,Station,S009,Station,CONNECTS_TO,2025-05-24 10:24:44,,,,S026,bus,Commuter,0.701,$3-$4.5,NA,BC,Vancouver,None,False,2,24,5-10km,3.0,False
EDGE300123,R55129,Rider,V0745,Vehicle,BOARDED,2025-05-04 03:55:06,T101118,R55129,R080,S028,bus,Senior,0.475,$4.5-$6.5,NA,BC,Vancouver,None,False,2,16,10-20km,6.17,False
EDGE300124,R091,Route,S006,Station,ROUTE_SERVES,2024-03-08 14:40:40,,,R091,S006,wce,Commuter,0.346,$3-$4.5,NA,BC,Vancouver,CarFreeDay,False,1,55,2-5km,3.37,False
EDGE300125,R17795,Rider,V0764,Vehicle,BOARDED,2024-12-18 03:35:00,T102462,R17795,R012,S021,bus,Commuter,0.315,$3-$4.5,NA,BC,Vancouver,None,False,3,46,10-20km,3.36,False
EDGE300126,S026,Station,S014,Station,CONNECTS_TO,2024-08-11 23:34:43,,,,S026,skytrain,Tourist,0.657,<$3,NA,BC,Vancouver,HolidayFreeRide,False,3,66,10-20km,2.01,False
