trip_id,rider_id,route_id,mode,origin_station_id,destination_station_id,board_datetime,alight_datetime,country,province,fare_class,payment_method,transfers,zones_charged,distance_km,base_fare_cad,discount_rate,discount_amount_cad,yvr_addfare_cad,total_fare_cad,on_time_arrival,service_disruption,polyline_stations
T100027,R77641,R032,skytrain,S007,S024,2025-03-29 20:33:48,2025-03-29 20:54:11,CA,BC,youth,compass_card,0,1,12.92,3.12,0.32,1.0,0.0,2.12,True,False,S010|S014|S023|S021|S012|S016|S030|S017|S015|S004
T100028,R78866,R057,seabus,S008,S009,2025-03-23 14:35:54,2025-03-23 14:48:41,CA,BC,adult,compass_card,0,1,6.53,3.13,0.0,0.0,0.0,3.13,True,False,S003|S012|S001|S020|S018|S008|S020|S008
T100029,R30159,R063,bus,S001,S004,2024-08-28 21:56:32,2024-08-28 22:07:40,CA,BC,senior,contactless_cc,1,1,4.96,3.17,0.35,1.11,0.0,2.06,True,False,S023|S021|S002|S009|S003|S030
T100030,R66570,R119,skytrain,S002,S029,2024-09-05 19:20:23,2024-09-05 20:00:59,CA,BC,adult,compass_card,0,1,18.56,3.11,0.0,0.0,0.0,3.11,True,False,S011|S003|S018|S008|S010|S023|S016|S007
T100031,R28384,R005,bus,S018,S005,2024-12-09 18:48:34,2024-12-09 19:13:00,CA,BC,adult,compass_card,0,1,10.6,3.13,0.0,0.0,0.0,3.13,True,False,S024|S030|S019|S020|S016
T100032,R47744,R034,bus,S008,S027,2024-05-31 11:47:42,2024-05-31 12:28:42,CA,BC,adult,compass_card,1,1,21.23,3.14,0.0,0.0,0.0,3.14,True,False,S016|S027|S014|S007|S004|S005|S023|S014|S012|S015|S014
T100033,R11252,R066,bus,S015,S029,2025-02-10 02:47:38,2025-02-10 03:26:39,CA,BC,youth,compass_card,0,1,9.85,3.2,0.32,1.02,0.0,2.18,True,False,S024|S002|S023|S021|S022
T100034,R49811,R017,bus,S004,S002,2025-01-19 19:43:05,2025-01-19 20:16:51,CA,BC,youth,compass_card,0,1,13.83,3.11,0.32,1.0,0.0,2.11,True,False,S013|S025|S011|S027|S029|S004|S009|S007|S008|S019
T100035,R32415,R104,bus,S015,S005,2025-03-23 11:09:55,2025-03-23 11:41:39,CA,BC,tourist,compass_card,0,1,11.38,3.19,0.1,0.32,0.0,2.87,True,False,S014|S006|S010|S016|S008|S029|S003|S016|S027|S029
T100036,R89252,R005,bus,S028,S018,2025-01-15 11:18:00,2025-01-15 11:45:26,CA,BC,senior,compass_card,0,1,9.93,3.2,0.35,1.12,0.0,2.08,False,False,S004|S002|S022|S018|S028|S001
T100037,R74291,R113,bus,S003,S026,2024-06-24 09:09:54,2024-06-24 09:33:04,CA,BC,adult,mobile_pay,0,1,7.04,3.12,0.0,0.0,0.0,3.12,True,False,S028|S008|S006|S015|S017|S016|S007|S029|S013|S030|S002
T100038,R94717,R109,bus,S006,S014,2025-01-24 17:27:45,2025-01-24 17:38:10,CA,BC,adult,contactless_cc,0,1,2.59,3.16,0.0,0.0,0.0,3.16,True,False,S001|S014|S009|S027|S026
T100039,R17561,R109,bus,S015,S010,2025-06-22 11:12:17,2025-06-22 11:26:03,CA,BC,adult,compass_card,1,1,6.79,3.17,0.0,0.0,0.0,3.17,True,False,S014|S024|S025|S027|S018|S023|S024|S016|S005|S008
T100040,R13812,R053,wce,S010,S007,2025-02-03 07:07:01,2025-02-03 07:17:55,CA,BC,senior,compass_card,0,2,11.12,4.55,0.35,1.59,0.0,2.96,False,False,S002|S020|S025|S018|S002|S025
T100041,R51427,R004,wce,S011,S002,2024-09-20 11:09:02,2024-09-20 11:18:40,CA,BC,adult,compass_card,1,1,9.38,3.12,0.0,0.0,0.0,3.12,True,False,S002|S020|S016|S018|S029
T100042,R55587,R047,skytrain,S017,S006,2024-07-23 01:33:52,2024-07-23 01:47:10,CA,BC,adult,compass_card,0,1,6.57,3.16,0.0,0.0,0.0,3.16,True,False,S002|S018|S003|S029|S006|S003
T100043,R44387,R101,skytrain,S020,S003,2024-05-14 18:13:28,2024-05-14 18:40:42,CA,BC,senior,mobile_pay,0,2,10.3,4.6,0.35,1.61,0.0,2.99,False,False,S022|S029|S008|S014|S004|S030|S019
T100044,R15415,R060,bus,S008,S020,2024-01-14 03:32:44,2024-01-14 04:11:24,CA,BC,senior,compass_card,0,1,12.8,3.17,0.35,1.11,0.0,2.06,False,False,S020|S002|S021|S003|S015|S023
T100045,R94056,R072,bus,S019,S020,2024-03-22 06:31:02,2024-03-22 07:00:26,CA,BC,adult,compass_card,0,1,13.35,3.11,0.0,0.0,0.0,3.11,True,False,S017|S011|S009|S007|S023|S024|S011|S008|S010|S014
T100046,R64917,R051,skytrain,S005,S023,2024-12-03 01:35:03,2024-12-03 02:01:08,CA,BC,senior,compass_card,0,1,16.13,3.13,0.35,1.1,0.0,2.03,True,False,S021|S010|S016|S011|S026|S003|S001|S016|S021|S019
T100047,R69201,R074,bus,S004,S003,2025-03-31 15:29:57,2025-03-31 15:55:03,CA,BC,adult,mobile_pay,0,1,12.66,3.17,0.0,0.0,0.0,3.17,True,False,S018|S007|S018|S009|S005|S013|S030
T100048,R81315,R074,skytrain,S003,S030,2024-09-18 19:31:49,2024-09-18 19:43:44,CA,BC,adult,compass_card,0,1,8.17,3.2,0.0,0.0,0.0,3.2,True,False,S008|S013|S010|S006|S016|S028|S018|S024
T100049,R74644,R072,wce,S010,S021,2025-06-17 23:57:50,2025-06-18 00:05:09,CA,BC,senior,contactless_cc,0,1,5.0,3.13,0.35,1.1,0.0,2.03,True,False,S026|S021|S017|S001|S023|S028|S018|S010|S023|S004|S030
T100050,R29256,R054,skytrain,S005,S010,2024-06-08 17:19:50,2024-06-08 17:30:27,CA,BC,adult,contactless_cc,0,1,8.04,3.14,0.0,0.0,0.0,3.14,True,False,S004|S030|S004|S025|S018|S005|S010
T100051,R83509,R082,skytrain,S010,S021,2024-06-04 09:45:05,2024-06-04 10:08:44,CA,BC,low_income,compass_card,0,2,10.92,4.57,0.4,1.83,0.0,2.74,True,False,S007|S024|S011|S007|S023|S021|S029|S009|S018|S016|S009
T100052,R80480,R049,wce,S029,S028,2025-06-02 11:54:59,2025-06-02 12:05:11,CA,BC,adult,compass_card,1,2,9.5,4.54,0.0,0.0,0.0,4.54,True,False,S002|S004|S022|S014|S028|S009|S002|S001|S012
T100053,R82847,R018,bus,S025,S005,2025-05-07 06:16:45,2025-05-07 06:25:03,CA,BC,adult,compass_card,1,1,4.9,3.2,0.0,0.0,0.0,3.2,True,False,S021|S009|S006|S025|S015|S019|S024|S014|S019|S001
T100054,R62603,R055,bus,S004,S003,2025-01-13 17:31:50,2025-01-13 17:59:08,CA,BC,senior,compass_card,0,1,7.39,3.13,0.35,1.1,0.0,2.03,True,False,S029|S023|S030|S005|S019|S002|S028|S012|S020|S018
T100055,R85039,R107,bus,S005,S015,2025-04-18 10:57:19,2025-04-18 11:31:50,CA,BC,youth,mobile_pay,1,1,11.62,3.11,0.32,1.0,0.0,2.11,False,False,S005|S002|S011|S013|S030|S026
T100056,R18705,R069,seabus,S028,S002,2025-01-19 19:12:10,2025-01-19 19:27:11,CA,BC,adult,compass_card,0,1,6.69,3.2,0.0,0.0,0.0,3.2,True,False,S029|S012|S007|S023|S008|S023
T100057,R58285,R110,bus,S004,S013,2024-04-25 02:26:30,2024-04-25 02:46:44,CA,BC,youth,compass_card,0,1,11.32,3.2,0.32,1.02,0.0,2.18,True,False,S025|S018|S030|S028|S014|S021|S025|S005|S009|S029
T100058,R71268,R041,bus,S006,S027,2025-02-23 01:38:45,2025-02-23 02:00:36,CA,BC,adult,contactless_cc,1,1,11.52,3.17,0.0,0.0,0.0,3.17,True,False,S026|S006|S030|S014|S001|S007|S025|S011|S027|S014|S027
T100059,R69052,R085,bus,S022,S029,2025-02-08 13:38:35,2025-02-08 14:00:34,CA,BC,adult,compass_card,0,1,9.44,3.13,0.0,0.0,0.0,3.13,True,False,S024|S027|S008|S010|S006|S027|S023|S004|S014|S029|S002
T100060,R38769,R024,bus,S028,S016,2025-05-12 03:59:17,2025-05-12 04:26:03,CA,BC,youth,compass_card,0,1,9.14,3.14,0.32,1.0,0.0,2.14,True,False,S008|S007|S028|S015|S012|S010
T100061,R23350,R114,skytrain,S027,S026,2024-05-06 07:23:16,2024-05-06 07:26:54,CA,BC,adult,compass_card,1,1,1.9,3.12,0.0,0.0,0.0,3.12,True,False,S028|S008|S009|S001|S023|S007|S014|S011|S009|S029|S003
T100062,R30491,R088,bus,S025,S009,2025-02-21 04:32:18,2025-02-21 04:52:13,US,BC,adult,compass_card,2,1,10.02,3.2,0.0,0.0,0.0,3.2,True,False,S012|S022|S017|S013|S023|S028|S018|S011|S001|S005|S030
T100063,R22182,R086,bus,S009,S006,2025-04-04 05:43:21,2025-04-04 06:21:48,CA,BC,low_income,compass_card,1,1,12.69,3.19,0.4,1.28,0.0,1.91,True,False,S019|S009|S002|S005|S021
T100064,R99613,R099,bus,S014,S012,2025-05-12 00:29:54,2025-05-12 01:00:13,CA,BC,adult,mobile_pay,1,1,11.35,3.16,0.0,0.0,0.0,3.16,True,False,S024|S027|S011|S015|S021|S017
T100065,R84038,R034,bus,S004,S014,2024-10-07 14:03:09,2024-10-07 14:25:42,CA,BC,adult,compass_card,0,1,9.9,3.15,0.0,0.0,0.0,3.15,True,False,S029|S019|S007|S010|S002
T100066,R60072,R084,skytrain,S023,S014,2024-06-08 10:27:16,2024-06-08 10:48:14,CA,BC,adult,compass_card,0,1,8.98,3.21,0.0,0.0,0.0,3.21,True,False,S001|S018|S027|S018|S023|S025|S024|S025
T100067,R53001,R101,bus,S022,S007,2025-06-02 10:33:31,2025-06-02 11:40:49,CA,BC,low_income,cash,1,1,24.93,3.31,0.4,1.32,0.0,1.99,True,False,S012|S015|S003|S023|S011|S021|S011|S023|S029|S004
T100068,R51844,R110,bus,S024,S030,2024-01-04 11:56:26,2024-01-04 12:28:41,CA,BC,youth,compass_card,0,1,11.17,3.17,0.32,1.01,0.0,2.16,True,False,S010|S018|S010|S023|S014|S011|S014
T100069,R35425,R088,bus,S023,S010,2024-12-04 14:00:34,2024-12-04 14:37:43,CA,BC,senior,compass_card,0,1,10.11,3.13,0.35,1.1,0.0,2.03,True,False,S018|S005|S008|S015|S023|S013
T100070,R35931,R079,skytrain,S022,S025,2025-04-27 21:50:16,2025-04-27 21:58:50,CA,BC,adult,compass_card,2,1,4.25,3.11,0.0,0.0,0.0,3.11,True,False,S029|S006|S021|S019|S010|S014
T100071,R19516,R093,bus,S018,S028,2024-01-14 02:37:38,2024-01-14 02:59:18,CA,BC,adult,contactless_cc,0,1,11.55,3.12,0.0,0.0,0.0,3.12,True,False,S001|S011|S010|S007|S015|S027|S019|S021|S022
T100072,R36292,R063,bus,S011,S016,2024-05-15 01:04:37,2024-05-15 01:07:13,CA,BC,adult,compass_card,1,1,0.8,3.12,0.0,0.0,0.0,3.12,True,False,S015|S016|S023|S007|S018|S016|S027|S030|S026
T100073,R43062,R013,skytrain,S024,S006,2025-01-10 09:47:25,2025-01-10 10:06:20,CA,BC,adult,compass_card,0,2,11.17,4.55,0.0,0.0,0.0,4.55,True,False,S022|S003|S011|S018|S023|S021|S020|S011|S003|S028|S025
T100074,R36660,R068,skytrain,S008,S023,2024-04-03 09:06:27,2024-04-03 09:16:07,CA,BC,adult,compass_card,0,2,6.85,4.59,0.0,0.0,0.0,4.59,False,False,S010|S008|S027|S007|S005|S001|S003|S009
T100075,R87475,R052,bus,S016,S021,2025-02-14 18:22:52,2025-02-14 18:45:09,CA,BC,youth,compass_card,0,1,6.42,3.21,0.32,1.03,0.0,2.18,True,False,S028|S025|S003|S016|S014|S030|S021|S019|S007|S024|S023
T100076,R78878,R029,bus,S013,S017,2024-03-15 12:53:30,2024-03-15 13:20:06,CA,BC,tourist,compass_card,1,1,12.88,3.2,0.1,0.32,0.0,2.88,False,False,S013|S008|S005|S022|S024|S001|S030
T100077,R73416,R001,bus,S025,S029,2025-02-13 17:58:17,2025-02-13 18:57:14,CA,BC,adult,compass_card,0,1,13.43,3.11,0.0,0.0,0.0,3.11,True,False,S025|S030|S004|S026|S014|S008
T100078,R40707,R093,skytrain,S006,S027,2024-11-06 10:26:07,2024-11-06 10:56:47,CA,BC,adult,compass_card,0,1,23.76,3.17,0.0,0.0,0.0,3.17,True,False,S023|S017|S015|S002|S019
T100079,R15109,R002,skytrain,S008,S029,2024-02-04 00:09:59,2024-02-04 00:14:40,CA,BC,adult,compass_card,0,1,2.56,3.18,0.0,0.0,0.0,3.18,True,False,S004|S016|S005|S027|S015|S023|S017
T100080,R42981,R041,bus,S018,S021,2025-01-16 06:41:20,2025-01-16 06:56:50,CA,BC,adult,compass_card,0,1,5.97,3.16,0.0,0.0,0.0,3.16,True,False,S011|S026|S030|S015|S021
T100081,R98652,R022,skytrain,S027,S024,2025-04-21 22:55:34,2025-04-21 23:07:36,CA,BC,youth,cash,0,1,8.35,3.4,0.32,1.09,0.0,2.31,True,False,S029|S017|S014|S028|S018|S015|S030|S006|S025|S029|S016
T100082,R36015,R076,skytrain,S015,S009,2025-05-04 16:03:19,2025-05-04 16:22:40,CA,BC,adult,contactless_cc,0,1,12.87,3.19,0.0,0.0,0.0,3.19,True,False,S025|S008|S028|S021|S009
T100083,R46877,R118,skytrain,S025,S026,2025-04-25 15:47:23,2025-04-25 16:14:39,CA,BC,adult,compass_card,0,2,13.94,4.57,0.0,0.0,0.0,4.57,True,False,S017|S016|S022|S008|S010|S016|S003
T100084,R70315,R035,skytrain,S023,S010,2024-03-31 00:45:48,2024-03-31 00:59:23,CA,BC,adult,contactless_cc,0,1,7.91,3.18,0.0,0.0,0.0,3.18,True,False,S008|S010|S012|S011|S030|S018
T100085,R90818,R036,bus,S003,S006,2024-11-19 11:56:36,2024-11-19 12:53:31,CA,BC,adult,compass_card,0,1,14.77,3.2,0.0,0.0,0.0,3.2,True,False,S005|S009|S014|S024|S005|S024|S007|S003|S015
T100086,R94878,R026,skytrain,S014,S011,2024-05-18 07:40:31,2024-05-18 08:02:27,CA,BC,adult,compass_card,1,1,13.95,3.15,0.0,0.0,0.0,3.15,True,False,S018|S015|S014|S002|S008|S028
T100087,R79350,R089,skytrain,S014,S013,2024-02-02 22:11:04,2024-02-02 22:32:08,CA,BC,youth,compass_card,2,1,8.39,3.15,0.32,1.01,0.0,2.14,True,False,S029|S025|S019|S024|S001|S029|S030|S025|S019|S013
T100088,R86367,R010,bus,S016,S001,2024-02-07 16:46:21,2024-02-07 17:20:09,CA,BC,adult,mobile_pay,0,1,11.26,3.15,0.0,0.0,0.0,3.15,False,False,S012|S010|S026|S013|S029|S030|S027|S014
T100089,R93310,R108,seabus,S018,S025,2025-03-06 06:49:30,2025-03-06 07:04:35,CA,BC,adult,compass_card,1,2,9.65,4.53,0.0,0.0,0.0,4.53,True,False,S024|S018|S027|S020|S030|S008
T100090,R51235,R088,wce,S016,S008,2024-09-02 13:37:46,2024-09-02 13:48:36,CA,BC,adult,compass_card,0,2,9.7,4.51,0.0,0.0,0.0,4.51,True,False,S009|S015|S017|S001|S014|S011|S023|S022
T100091,R14470,R085,skytrain,S026,S013,2024-01-08 11:48:16,2024-01-08 12:12:33,CA,BC,youth,compass_card,0,2,11.92,4.6,0.32,1.47,0.0,3.13,True,False,S024|S006|S028|S015|S005
T100092,R64061,R001,seabus,S020,S018,2024-06-16 18:57:34,2024-06-16 19:11:17,CA,BC,tourist,compass_card,1,1,7.19,3.19,0.1,0.32,0.0,2.87,True,False,S001|S014|S020|S019|S023|S001|S004|S022
T100093,R39165,R019,wce,S014,S005,2025-06-29 08:50:13,2025-06-29 09:03:36,CA,BC,adult,compass_card,0,1,13.6,3.14,0.0,0.0,0.0,3.14,True,False,S028|S015|S006|S002|S010|S014|S011|S007
T100094,R41324,R049,bus,S015,S011,2024-12-09 23:13:38,2024-12-09 23:29:23,CA,BC,adult,compass_card,2,1,8.33,3.19,0.0,0.0,0.0,3.19,False,False,S011|S026|S030|S013|S009
T100095,R42779,R048,skytrain,S025,S028,2024-04-11 18:36:20,2024-04-11 18:54:12,CA,BC,low_income,compass_card,0,1,12.53,3.1,0.4,1.24,0.0,1.86,True,False,S014|S009|S028|S003|S017
T100096,R18906,R068,bus,S001,S025,2025-06-02 15:19:40,2025-06-02 15:31:57,CA,BC,low_income,compass_card,0,1,2.94,3.11,0.4,1.24,0.0,1.87,True,False,S018|S002|S013|S008|S022|S003|S026|S021|S002
T100097,R33171,R094,bus,S025,S001,2025-04-06 00:43:54,2025-04-06 01:16:58,CA,BC,youth,compass_card,0,1,12.68,3.13,0.32,1.0,0.0,2.13,False,False,S008|S007|S028|S001|S021|S005|S009|S005|S017|S023|S004
T100098,R69189,R120,bus,S019,S007,2025-06-24 13:25:00,2025-06-24 13:56:48,CA,BC,senior,compass_card,0,1,15.7,3.14,0.35,1.1,0.0,2.04,False,False,S015|S024|S009|S026|S012
T100099,R44084,R024,skytrain,S006,S021,2025-05-17 18:50:58,2025-05-17 19:06:53,CA,BC,youth,compass_card,0,1,10.37,3.12,0.32,1.0,0.0,2.12,True,False,S020|S025|S023|S004|S026|S028|S006|S011|S004|S020|S001
T100100,R90532,R048,skytrain,S030,S010,2024-03-07 22:26:22,2024-03-07 22:34:26,CA,BC,adult,cash,0,1,5.52,3.38,0.0,0.0,0.0,3.38,True,False,S019|S023|S013|S014|S024|S007|S003|S020|S024|S028|S021
T100101,R65754,R060,wce,S008,S004,2024-11-04 13:18:37,2024-11-04 13:35:11,CA,BC,youth,compass_card,0,1,11.02,3.14,0.32,1.0,0.0,2.14,True,False,S023|S026|S010|S029|S022|S020|S027|S004|S027
T100102,R82240,R060,bus,S019,S027,2024-06-22 01:36:04,2024-06-22 02:19:16,CA,BC,youth,compass_card,0,1,19.22,3.14,0.32,1.0,0.0,2.14,True,False,S002|S013|S019|S014|S023|S012
T100103,R68576,R087,wce,S003,S018,2024-09-27 15:36:19,2024-09-27 15:43:10,CA,BC,adult,contactless_cc,0,1,6.53,3.13,0.0,0.0,0.0,3.13,False,False,S021|S011|S001|S029|S014|S028|S016|S004|S015|S012
T100104,R82982,R104,bus,S021,S030,2024-08-06 19:01:09,2024-08-06 19:10:31,CA,BC,adult,mobile_pay,1,1,4.49,3.17,0.0,0.0,0.0,3.17,True,False,S027|S015|S024|S005|S015|S006|S025|S017|S022
T100105,R26163,R114,skytrain,S009,S021,2024-02-07 20:23:29,2024-02-07 20:39:07,CA,BC,adult,compass_card,0,1,9.93,3.2,0.0,0.0,0.0,3.2,True,False,S026|S018|S026|S016|S015|S014|S028|S024|S019
T100106,R71929,R049,bus,S009,S012,2024-12-13 13:03:37,2024-12-13 13:15:19,CA,BC,senior,contactless_cc,1,1,2.96,3.13,0.35,1.1,0.0,2.03,True,False,S028|S008|S028|S003|S010|S030
T100107,R66154,R082,bus,S015,S008,2024-07-27 16:16:13,2024-07-27 16:53:40,CA,BC,adult,compass_card,1,1,13.91,3.19,0.0,0.0,0.0,3.19,True,False,S025|S015|S020|S021|S023|S013|S011|S001|S017|S029
T100108,R60200,R098,bus,S011,S006,2024-10-08 23:19:35,2024-10-08 23:45:39,CA,BC,adult,compass_card,0,1,10.09,3.15,0.0,0.0,0.0,3.15,True,False,S016|S007|S013|S027|S009|S012|S009|S030|S020
T100109,R87866,R060,bus,S023,S030,2024-09-26 14:09:26,2024-09-26 14:33:50,CA,BC,youth,compass_card,0,1,9.29,3.15,0.32,1.01,0.0,2.14,True,False,S009|S019|S001|S018|S007|S003|S009|S025
T100110,R38141,R080,skytrain,S014,S017,2024-07-23 17:02:07,2024-07-23 17:32:09,CA,BC,senior,mobile_pay,1,2,13.97,4.54,0.35,1.59,0.0,2.95,True,False,S018|S026|S008|S024|S016|S022|S024
T100111,R36715,R071,bus,S016,S015,2024-07-01 22:16:53,2024-07-01 22:49:44,CA,BC,youth,compass_card,0,1,12.24,3.12,0.32,1.0,0.0,2.12,True,False,S026|S001|S004|S011|S008|S014|S024|S008|S011
T100112,R26052,R045,bus,S022,S019,2024-06-21 22:39:31,2024-06-21 22:56:26,CA,BC,adult,contactless_cc,0,1,6.36,3.17,0.0,0.0,0.0,3.17,True,False,S012|S017|S019|S017|S012|S015|S025|S018|S011
T100113,R29877,R042,bus,S012,S024,2024-03-13 13:28:44,2024-03-13 14:05:39,CA,BC,adult,contactless_cc,0,1,16.16,3.2,0.0,0.0,0.0,3.2,True,False,S015|S009|S011|S009|S008|S004
T100114,R38602,R049,bus,S024,S007,2024-08-14 14:35:58,2024-08-14 15:01:19,CA,BC,adult,mobile_pay,0,1,10.0,3.11,0.0,0.0,0.0,3.11,True,False,S011|S004|S025|S018|S026|S023|S006|S008|S007
T100115,R54857,R100,bus,S024,S016,2024-10-22 22:28:26,2024-10-22 22:58:37,CA,BC,adult,compass_card,0,1,12.34,3.18,0.0,0.0,0.0,3.18,True,False,S009|S025|S019|S026|S017|S021|S010|S004
T100116,R33888,R104,skytrain,S027,S007,2024-12-25 22:40:08,2024-12-25 22:59:33,CA,BC,low_income,compass_card,1,1,10.34,3.14,0.4,1.26,0.0,1.88,True,False,S010|S008|S013|S006|S011|S001
